出表日期,年度,季別,公司代號,公司名稱,產業別,基本每股盈餘(元),普通股每股面額,營業收入,營業利益,營業外收入及支出,稅後淨利
"1100421","109","4","2723","開曼美食達人股份有限公司","觀光事業","5.64","新台幣                 10.0000元","19679455.00","1590116.00","-183426.00","998224.00"
"1100421","109","4","2727","王品餐飲股份有限公司","觀光事業","4.61","新台幣                 10.0000元","15233747.00","555330.00","-209815.00","255926.00"
"1100421","109","4","2731","雄獅旅行社股份有限公司","觀光事業","-5.90","新台幣                 10.0000元","6545177.00","-958006.00","374337.00","-415013.00"
"1100421","109","4","2739","寒舍餐旅管理顧問股份有限公司","觀光事業","-3.15","新台幣                 10.0000元","2806550.00","-417184.00","-69455.00","-351467.00"
"1100421","109","4","2748","雲品國際酒店股份有限公司","觀光事業","1.44","新台幣                 10.0000元","1833643.00","91043.00","30936.00","108891.00"
"1100421","109","4","2801","彰化商業銀行股份有限公司","金融保險業","0.68","新台幣                 10.0000元","27317092.00","--","--","7040927.00"
"1100421","109","4","2809","京城商業銀行股份有限公司","金融保險業","4.90","新台幣                 10.0000元","8906920.00","--","--","5490971.00"
"1100421","109","4","2812","台中商業銀行股份有限公司","金融保險業","1.03","新台幣                 10.0000元","11643742.00","--","--","4025533.00"
"1100421","109","4","2816","旺旺友聯產物保險股份有限公司","金融保險業","3.14","新台幣                 10.0000元","8237782.00","673890.00","32162.00","702097.00"
"1100421","109","4","2820","中華票券金融股份有限公司","金融保險業","1.18","新台幣                 10.0000元","2507171.00","--","--","1578242.00"
"1100421","109","4","2823","中國人壽保險股份有限公司","金融保險業","3.29","新台幣                 10.0000元","323248432.00","15704820.00","-67957.00","15547836.00"
"1100421","109","4","2832","台灣產物保險股份有限公司","金融保險業","1.90","新台幣                 10.0000元","5396686.00","770399.00","2540.00","687595.00"
"1100421","109","4","2834","臺灣中小企業銀行股份有限公司","金融保險業","0.63","新台幣                 10.0000元","21869442.00","--","--","4701775.00"
"1100421","109","4","2836","高雄銀行股份有限公司","金融保險業","0.68","新台幣                 10.0000元","3725355.00","--","--","763315.00"
"1100421","109","4","2838","聯邦商業銀行股份有限公司","金融保險業","0.96","新台幣                 10.0000元","14430362.00","--","--","3441505.00"
"1100421","109","4","2841","台灣土地開發股份有限公司","建材營造","-2.41","新台幣                 10.0000元","334804.00","-551583.00","-1297157.00","-1829001.00"
"1100421","109","4","2845","遠東國際商業銀行股份有限公司","金融保險業","0.73","新台幣                 10.0000元","11217486.00","--","--","2518703.00"
"1100421","109","4","2849","安泰商業銀行股份有限公司","金融保險業","1.11","新台幣                 10.0000元","5846961.00","--","--","2171460.00"
"1100421","109","4","2850","新光產物保險股份有限公司","金融保險業","5.16","新台幣                 10.0000元","16510114.00","1915800.00","13844.00","1629724.00"
"1100421","109","4","2851","中央再保險股份有限公司","金融保險業","2.57","新台幣                 10.0000元","17656923.00","1786314.00","2322.00","1515729.00"
"1100421","109","4","2852","第一產物保險股份有限公司","金融保險業","0.51","新台幣                 10.0000元","5854672.00","208051.00","-2106.00","152882.00"
"1100421","109","4","2855","統一綜合證券股份有限公司","金融保險業","2.58","新台幣                 10.0000元","9581272.00","3607110.00","375712.00","3614596.00"
"1100421","109","4","2867","三商美邦人壽保險股份有限公司","金融保險業","0.61","新台幣                 10.0000元","157231964.00","1562375.00","177936.00","1444538.00"
